State name,District name,Population 2011,Population 2001,% Change in population,
KARNATAKA,Kodagu,554519,548561,1.09,
JHARKHAND,Kodarma,716259,499403,43.42,
NAGALAND,Kohima,267988,310084,-13.58,
ASSAM,Kokrajhar,887142,905764,-2.06,
KARNATAKA,Kolar,1536401,2536069,-39.42,
MIZORAM,Kolasib,83955,65960,27.28,
MAHARASHTRA,Kolhapur,3876001,3523162,10.01,
WEST BENGAL,Kolkata,4496694,4572876,-1.67,
KERALA,Kollam,2635375,2585208,1.94,
KARNATAKA,Koppal,1389920,1196089,16.21,
ORISSA,Koraput,1379647,1180637,16.86,
CHHATTISGARH,Korba,1206640,1011823,19.25,
CHHATTISGARH,Koriya,658917,586327,12.38,
RAJASTHAN,Kota,1951014,1568525,24.39,
KERALA,Kottayam,1974551,1953646,1.07,
KERALA,Kozhikode,3086293,2879131,7.20,
ANDHRA PRADESH,Krishna,4517398,4187841,7.87,
TAMIL NADU,Krishnagiri,1879809,4187841,-55.11,
JAMMU AND KASHMIR,Kulgam,424483,4187841,-89.86,
HIMACHAL PRADESH,Kullu,437903,381571,14.76,
JAMMU AND KASHMIR,Kupwara,870354,650393,33.82,
ANDHRA PRADESH,Kurnool,4053463,3529494,14.85,
HARYANA,Kurukshetra,964655,825454,16.86,
ARUNACHAL PRADESH,Kurung Kumey,92076,825454,-88.85,
UTTAR PRADESH,Kushinagar,3564544,2893196,23.20,
HIMACHAL PRADESH,Lahul AND Spiti,31564,2893196,-98.91,
ASSAM,Lakhimpur,1042137,889010,17.22,
BIHAR,Lakhisarai,1000912,802225,24.77,
LAKSHADWEEP,Lakshadweep,64473,60650,6.30,
UTTAR PRADESH,Lalitpur,1221592,977734,24.94,
JHARKHAND,Latehar,726978,977734,-25.65,
MAHARASHTRA,Latur,2454196,2080285,17.97,
MIZORAM,Lawngtlai,117894,73620,60.14,
JAMMU AND KASHMIR,Leh(Ladakh),133487,117232,13.87,
JHARKHAND,Lohardaga,461790,364521,26.68,
ARUNACHAL PRADESH,Lohit,145726,143527,1.53,
NAGALAND,Longleng,50484,143527,-64.83,
ARUNACHAL PRADESH,Lower Dibang Valley,54080,143527,-62.32,
ARUNACHAL PRADESH,Lower Subansiri,83030,143527,-42.15,
UTTAR PRADESH,Lucknow,4589838,3647834,25.82,
PUNJAB,Ludhiana,3498739,3032831,15.36,
MIZORAM,Lunglei,161428,137223,17.64,
BIHAR,Madhepura,2001762,1526646,31.12,
BIHAR,Madhubani,4487379,3575281,25.51,
TAMIL NADU,Madurai,3038252,2578201,17.84,
UTTAR PRADESH,Mahamaya Nagar,1564708,2578201,-39.31,
CHHATTISGARH,Mahasamund,1032754,860257,20.05,
ANDHRA PRADESH,Mahbubnagar,4053028,3513934,15.34,
PONDICHERRY,Mahe,41816,36828,13.54,
HARYANA,Mahendragarh,922088,812521,13.48,
GUJARAT,Mahesana,2035064,1837892,10.73,
UTTAR PRADESH,Mahoba,875958,708447,23.64,
UTTAR PRADESH,Mahrajganj,2684703,2173878,23.50,
UTTAR PRADESH,Mainpuri,1868529,1596718,17.02,
KERALA,Malappuram,4112920,3625471,13.45,
WEST BENGAL,Maldah,3988845,3290468,21.22,
ORISSA,Malkangiri,613192,504198,21.62,
MIZORAM,Mamit,86364,62785,37.56,
HIMACHAL PRADESH,Mandi,999777,901344,10.92,
MADHYA PRADESH,Mandla,1054905,894236,17.97,
MADHYA PRADESH,Mandsaur,1340411,1183724,13.24,
KARNATAKA,Mandya,1805769,1763705,2.38,
PUNJAB,Mansa,769751,688758,11.76,
UTTAR PRADESH,Mathura,2547184,2074516,22.78,
UTTAR PRADESH,Mau,2205968,1853997,18.98,
ORISSA,Mayurbhanj,2519738,2223456,13.33,
ANDHRA PRADESH,Medak,3033288,2670097,13.60,
UTTAR PRADESH,Meerut,3443689,2997361,14.89,
HARYANA,Mewat,1089263,2997361,-63.66,
UTTAR PRADESH,Mirzapur,2496970,2116042,18.00,
PUNJAB,Moga,995746,894854,11.27,
NAGALAND,Mokokchung,194622,232085,-16.14,
NAGALAND,Mon,250260,260652,-3.99,
UTTAR PRADESH,Moradabad,4772006,3810983,25.22,
MADHYA PRADESH,Morena,1965970,1592714,23.44,
ASSAM,Morigaon,957423,1592714,-39.89,
PUNJAB,Muktsar,901896,777493,16.00,
MAHARASHTRA,Mumbai,3085411,3338031,-7.57,
MAHARASHTRA,Mumbai Suburban,9356962,3338031,180.31,
BIHAR,Munger,1367765,1137797,20.21,
